Cause,Type,Year,Data Redundancy,Total Deaths,Source,Page at Source,Source URL
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,1,37,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,1,20,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,1,19,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,1,7,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,1,10,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,1,9,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,1,3,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2014,1,2,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2015,1,2,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2016,1,0,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2017,1,1,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2018,1,0,Profil Kesehatan Indonesia Tahun 2018,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Banjir,Bencana Alam,2005,1,2,Profil Kesehatan Indonesia Tahun 2005,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf
Banjir,Bencana Alam,2006,1,108,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf
Banjir,Bencana Alam,2007,1,140,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf
Banjir,Bencana Alam,2008,1,58,Profil Kesehatan Indonesia Tahun 2008,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Banjir,Bencana Alam,2009,1,30,Profil Kesehatan Indonesia Tahun 2009,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf
Banjir,Bencana Alam,2010,1,33,Profil Kesehatan Indonesia Tahun 2010,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Banjir,Bencana Alam,2011,1,14,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf
Banjir,Bencana Alam,2012,1,9,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Banjir,Bencana Alam,2015,1,35,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf
Banjir,Bencana Alam,2016,1,42,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf
Banjir,Bencana Alam,2017,1,6,Profil Kesehatan Indonesia Tahun 2017,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf
Banjir,Bencana Alam,2018,1,26,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Banjir,Bencana Alam,2019,1,43,Profil Kesehatan Indonesia Tahun 2019,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf
Banjir,Bencana Alam,2020,1,88,Profil Kesehatan Indonesia Tahun 2020,190,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf
Banjir,Bencana Alam,2021,1,124,Profil Kesehatan Indonesia Tahun 2021,253,https://www.kemkes.go.id/downloads/resources/download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-2021.pdf
Banjir Bandang,Bencana Alam,2005,1,0,Profil Kesehatan Indonesia Tahun 2005,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf
Banjir Bandang,Bencana Alam,2006,1,251,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf
Banjir Bandang,Bencana Alam,2007,1,0,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf
Banjir Bandang,Bencana Alam,2008,1,42,Profil Kesehatan Indonesia Tahun 2008,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Banjir Bandang,Bencana Alam,2009,1,127,Profil Kesehatan Indonesia Tahun 2009,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf
Banjir Bandang,Bencana Alam,2010,1,215,Profil Kesehatan Indonesia Tahun 2010,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Banjir Bandang,Bencana Alam,2011,1,55,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf
Banjir Bandang,Bencana Alam,2012,1,38,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Banjir Bandang,Bencana Alam,2015,1,20,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf
Banjir Bandang,Bencana Alam,2016,1,81,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf
Banjir Bandang,Bencana Alam,2017,1,23,Profil Kesehatan Indonesia Tahun 2017,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf
Banjir Bandang,Bencana Alam,2018,1,18,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Banjir Bandang,Bencana Alam,2019,1,109,Profil Kesehatan Indonesia Tahun 2019,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf
Banjir Bandang,Bencana Alam,2020,1,49,Profil Kesehatan Indonesia Tahun 2020,190,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf
Banjir Bandang,Bencana Alam,2021,1,120,Profil Kesehatan Indonesia Tahun 2021,253,https://www.kemkes.go.id/downloads/resources/download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-2021.pdf
Banjir Bandang dan Angin Siklon Tropis,Bencana Alam,2012,1,0,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Banjir Bandang dan Tanah Longsor,Bencana Alam,2007,1,2,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf
Banjir Bandang dan Tanah Longsor,Bencana Alam,2012,1,0,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Banjir dan Tanah Longsor,Bencana Alam,2007,1,265,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf
Banjir dan Tanah Longsor,Bencana Alam,2011,1,3,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf
Banjir dan Tanah Longsor,Bencana Alam,2012,1,20,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Banjir dan Tanah Longsor,Bencana Alam,2015,1,2,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf
Banjir dan Tanah Longsor,Bencana Alam,2016,1,11,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf
Banjir dan Tanah Longsor,Bencana Alam,2017,1,49,Profil Kesehatan Indonesia Tahun 2017,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf
Banjir dan Tanah Longsor,Bencana Alam,2018,1,43,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
